;;;;;;
175;2.12.01.2.06;Administrasi Umum Perangkat Daerah;2;12;62;T
176;2.12.01.2.07;Pengadaan Barang Milik Daerah Penunjang Urusan Pemerintah Daerah;2;12;62;T
177;2.12.01.2.08;Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah;2;12;62;T
178;2.12.01.2.09;Pemeliharaan Barang Milik Daerah Penunjang Urusan Pemerintahan Daerah;2;12;62;T
179;2.12.02.2.01;Pelayanan Pendaftaran Penduduk;2;12;63;T
180;2.12.02.2.03;Penyelenggaraan Pendaftaran Penduduk;2;12;63;T
181;2.12.02.2.04;Pembinaan dan Pengawasan Penyelenggaraan Pendaftaran Penduduk;2;12;63;T
182;2.12.03.2.01;Pelayanan Pencatatan Sipil;2;12;64;T
183;2.12.03.2.02;Penyelenggaraan Pencatatan Sipil;2;12;64;T
184;2.12.04.2.01;Pengumpulan Data Kependudukan dan Pemanfaatan dan Penyajian Database Kependudukan;2;12;65;T
185;2.12.04.2.03;Penyelenggaraan Pengelolaan Informasi Administrasi Kependudukan;2;12;65;T
186;2.12.05.2.01;Penyusunan Profil Kependudukan;2;12;66;T
187;2.13.01.2.01;Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah;2;13;67;T
188;2.13.01.2.02;Administrasi Keuangan Perangkat Daerah;2;13;67;T
189;2.13.01.2.05;Administrasi Kepegawaian Perangkat Daerah;2;13;67;T
190;2.13.01.2.06;Administrasi Umum Perangkat Daerah;2;13;67;T
191;2.13.01.2.07;Pengadaan Barang Milik Daerah Penunjang Urusan Pemerintah Daerah;2;13;67;T
192;2.13.01.2.08;Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah;2;13;67;T
193;2.13.01.2.09;Pemeliharaan Barang Milik Daerah Penunjang Urusan Pemerintahan Daerah;2;13;67;T
194;2.13.02.2.01;Penyelenggaraan Penataan Desa;2;13;68;T
195;2.13.03.2.01;Fasilitasi Kerja Sama antar Desa;2;13;69;T
196;2.13.04.2.01;Pembinaan dan Pengawasan Penyelenggaraan Administrasi Pemerintahan Desa;2;13;70;T
